vin,vout5,vout4,vout3,vout2,vout1,vout0
2.578125e-02,2.332541e-08,1.750744e-08,1.910650e-08,1.910655e-08,2.380191e-08,2.327092e-08
7.734375e-02,2.332536e-08,1.750741e-08,1.910647e-08,1.910652e-08,2.380186e-08,2.327088e-08
1.289062e-01,2.332549e-08,1.750748e-08,1.910655e-08,1.910660e-08,2.380200e-08,2.327101e-08
1.804687e-01,2.332546e-08,1.750748e-08,1.910655e-08,1.910660e-08,2.380195e-08,2.327097e-08
2.320312e-01,2.332548e-08,1.750753e-08,1.910659e-08,1.910664e-08,2.380195e-08,2.327099e-08
2.835937e-01,2.332499e-08,1.750721e-08,1.910622e-08,1.910627e-08,2.380146e-08,2.327050e-08
3.351562e-01,2.332050e-08,1.750430e-08,1.910281e-08,1.910286e-08,2.379697e-08,2.326596e-08
3.867187e-01,2.329691e-08,1.748934e-08,1.908523e-08,1.908528e-08,2.377320e-08,2.324216e-08
4.382812e-01,2.322221e-08,1.744237e-08,1.902987e-08,1.902992e-08,2.369771e-08,2.316674e-08
4.898437e-01,2.317370e-08,1.741156e-08,1.899367e-08,1.899372e-08,2.364882e-08,2.311777e-08
5.414062e-01,2.316199e-08,1.740934e-08,1.898981e-08,3.300000e+00,3.300000e+00,3.300000e+00
5.929687e-01,2.309198e-08,1.738127e-08,1.895163e-08,3.300000e+00,3.300000e+00,3.300000e+00
6.445312e-01,2.138382e-08,1.645163e-08,3.300000e+00,3.300000e+00,2.171638e-08,2.130344e-08
6.960937e-01,2.140289e-08,1.646956e-08,3.300000e+00,3.300000e+00,2.173344e-08,3.300000e+00
7.476562e-01,2.138130e-08,1.646009e-08,3.300000e+00,3.300000e+00,3.300000e+00,2.130326e-08
7.992187e-01,2.125785e-08,3.300000e+00,1.774258e-08,1.773843e-08,2.157985e-08,2.117597e-08
8.507812e-01,2.120564e-08,3.300000e+00,1.770797e-08,1.770426e-08,2.152637e-08,3.300000e+00
9.023437e-01,2.117542e-08,3.300000e+00,1.769010e-08,1.768621e-08,3.300000e+00,2.109591e-08
9.539062e-01,2.111597e-08,3.300000e+00,1.765060e-08,1.764674e-08,3.300000e+00,3.300000e+00
1.005469e+00,2.124613e-08,3.300000e+00,1.773146e-08,3.300000e+00,2.157174e-08,2.116286e-08
1.057031e+00,2.129953e-08,3.300000e+00,1.776801e-08,3.300000e+00,2.162847e-08,3.300000e+00
1.108594e+00,2.147420e-08,3.300000e+00,1.789330e-08,3.300000e+00,3.300000e+00,2.139865e-08
1.160156e+00,2.150471e-08,3.300000e+00,1.791389e-08,3.300000e+00,3.300000e+00,3.300000e+00
1.211719e+00,2.153275e-08,3.300000e+00,3.300000e+00,1.793045e-08,2.187051e-08,2.145303e-08
1.263281e+00,2.157081e-08,3.300000e+00,3.300000e+00,1.795816e-08,2.191217e-08,3.300000e+00
1.314844e+00,2.166084e-08,3.300000e+00,3.300000e+00,1.802288e-08,3.300000e+00,2.158792e-08
1.366406e+00,1.838495e-08,3.300000e+00,3.300000e+00,1.543314e-08,3.300000e+00,3.300000e+00
1.417969e+00,2.168633e-08,3.300000e+00,3.300000e+00,3.300000e+00,2.203639e-08,2.160892e-08
1.469531e+00,2.169694e-08,3.300000e+00,3.300000e+00,3.300000e+00,2.204782e-08,3.300000e+00
1.521094e+00,2.179416e-08,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,2.172296e-08
1.572656e+00,2.182905e-08,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00
1.624219e+00,3.300000e+00,1.671430e-08,1.812940e-08,1.813141e-08,2.216897e-08,3.300000e+00
1.675781e+00,3.300000e+00,1.676048e-08,1.818619e-08,1.818563e-08,3.300000e+00,2.182073e-08
1.727344e+00,3.300000e+00,1.676726e-08,1.819422e-08,1.819363e-08,3.300000e+00,2.183202e-08
1.778906e+00,3.300000e+00,1.674171e-08,1.816471e-08,3.300000e+00,2.222779e-08,2.179768e-08
1.830469e+00,3.300000e+00,1.673545e-08,1.815641e-08,3.300000e+00,2.221916e-08,3.300000e+00
1.882031e+00,3.300000e+00,1.681230e-08,1.824735e-08,3.300000e+00,3.300000e+00,2.190732e-08
1.933594e+00,3.300000e+00,1.675354e-08,1.818022e-08,3.300000e+00,3.300000e+00,3.300000e+00
1.985156e+00,3.300000e+00,1.676250e-08,3.300000e+00,1.819897e-08,2.226776e-08,2.183841e-08
2.036719e+00,3.300000e+00,1.680104e-08,3.300000e+00,1.824028e-08,3.300000e+00,2.189644e-08
2.088281e+00,3.300000e+00,1.680085e-08,3.300000e+00,1.824019e-08,3.300000e+00,2.189683e-08
2.139844e+00,3.300000e+00,1.679757e-08,3.300000e+00,1.823856e-08,3.300000e+00,3.300000e+00
