vin,vout5,vout4,vout3,vout2,vout1,vout0
2.578125e-02,2.332496e-08,1.750729e-08,1.910628e-08,1.910633e-08,2.380138e-08,2.327047e-08
7.734375e-02,2.332548e-08,1.750736e-08,1.910658e-08,1.910662e-08,2.380196e-08,2.327099e-08
1.289062e-01,2.332551e-08,1.750738e-08,1.910661e-08,1.910665e-08,2.380200e-08,2.327103e-08
1.804687e-01,2.332560e-08,1.750744e-08,1.910667e-08,1.910671e-08,2.380209e-08,2.327112e-08
2.320312e-01,2.332568e-08,1.750749e-08,1.910673e-08,1.910678e-08,2.380217e-08,2.327120e-08
2.835937e-01,2.332539e-08,1.750724e-08,1.910646e-08,1.910651e-08,2.380190e-08,2.327090e-08
3.351562e-01,2.332061e-08,1.750424e-08,1.910291e-08,1.910296e-08,2.379707e-08,2.326608e-08
3.867187e-01,2.329667e-08,1.748916e-08,1.908515e-08,1.908520e-08,2.377289e-08,2.324191e-08
4.382812e-01,2.322310e-08,1.744255e-08,1.903033e-08,1.903038e-08,2.369873e-08,2.316764e-08
4.898437e-01,2.317459e-08,1.741177e-08,1.899416e-08,1.899420e-08,2.364983e-08,2.311867e-08
5.414062e-01,2.315224e-08,1.740182e-08,1.898154e-08,3.300000e+00,3.300000e+00,3.300000e+00
5.929687e-01,2.310493e-08,1.738085e-08,1.895331e-08,3.300000e+00,3.300000e+00,3.300000e+00
6.445312e-01,2.145073e-08,1.649804e-08,3.300000e+00,3.300000e+00,2.178256e-08,2.136793e-08
6.960937e-01,2.143027e-08,1.648802e-08,3.300000e+00,3.300000e+00,3.300000e+00,2.135262e-08
7.476562e-01,2.137753e-08,1.645727e-08,3.300000e+00,3.300000e+00,3.300000e+00,3.300000e+00
7.992187e-01,2.127794e-08,3.300000e+00,1.775829e-08,1.775448e-08,2.160156e-08,2.119605e-08
8.507812e-01,2.117963e-08,3.300000e+00,1.768733e-08,1.768323e-08,2.149877e-08,3.300000e+00
9.023437e-01,2.119618e-08,3.300000e+00,1.770628e-08,1.770240e-08,3.300000e+00,2.111660e-08
9.539062e-01,2.109661e-08,3.300000e+00,1.763522e-08,1.763132e-08,3.300000e+00,3.300000e+00
1.005469e+00,2.124277e-08,3.300000e+00,1.772907e-08,3.300000e+00,2.156785e-08,2.116178e-08
1.057031e+00,1.286888e-08,3.300000e+00,1.305378e-08,3.300000e+00,1.238024e-08,3.300000e+00
1.108594e+00,2.147233e-08,3.300000e+00,1.789200e-08,3.300000e+00,3.300000e+00,2.139648e-08
1.160156e+00,2.150321e-08,3.300000e+00,1.791284e-08,3.300000e+00,3.300000e+00,3.300000e+00
